product_id,manufacturer_name,brand_name,color_name,material_code,color_measured_hex,color_measured_rgb,color_measured_cielab,shopify_url_linkfromset
PCDB-002-081-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Pastel Rainbow,PLA,,,,
PCDB-002-082-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Cappuccino,PLA,,,,
PCDB-002-083-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Spring,PLA,,,,
PCDB-002-084-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Summer,PLA,,,,
PCDB-002-085-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Fall,PLA,,,,
PCDB-002-086-1,Polymaker,Panchroma Gradient Matte PLA,Gradient Matte Winter,PLA,,,,
PCDB-002-087-1,Polymaker,Panchroma Gradient Matte PLA,Dual Gradient Matte Wood,PLA,,,,
PCDB-002-088-1,Polymaker,Panchroma Gradient Satin PLA,Gradient Satin Rainbow,PLA,,,,
PCDB-002-089-1,Polymaker,Panchroma Gradient Silk,Gradient Silk Rainbow,PLA,,,,
PCDB-002-090-1,Polymaker,Panchroma Gradient Silk,Gradient Silk Fire,PLA,,,,
PCDB-002-091-1,Polymaker,Panchroma Gradient Silk,Gradient Silk Water,PLA,,,,
PCDB-002-092-1,Polymaker,Panchroma Gradient Silk,Gradient Silk Air,PLA,,,,
PCDB-002-093-1,Polymaker,Panchroma Gradient Silk,Gradient Silk Earth,PLA,,,,
PCDB-002-094-1,Polymaker,Panchroma Gradient Translucent PLA,Gradient Translucent Rainbow,PLA,,,,
PCDB-002-095-1,Polymaker,Panchroma Luminous PLA,Gradient Luminous Rainbow,PLA,,,,
PCDB-002-096-1,Polymaker,Panchroma Luminous PLA,Luminous Blue,PLA,,,,
PCDB-002-097-1,Polymaker,Panchroma Luminous PLA,Luminous Orange,PLA,,,,
PCDB-002-098-1,Polymaker,Panchroma Luminous PLA,Luminous Green,PLA,,,,
PCDB-002-099-1,Polymaker,Panchroma Luminous PLA,Luminous Pink,PLA,,,,
PCDB-002-100-1,Polymaker,Panchroma Luminous PLA,Luminous Yellow,PLA,,,,
PCDB-002-101-1,Polymaker,Panchroma Marble PLA,Marble Brick,PLA,,,,
PCDB-002-102-1,Polymaker,Panchroma Marble PLA,Marble Limestone,PLA,,,,
PCDB-002-103-1,Polymaker,Panchroma Marble PLA,Marble Sandstone,PLA,,,,
PCDB-002-104-1,Polymaker,Panchroma Matte PLA,Matte Army Purple,PLA,,,,
PCDB-002-105-1,Polymaker,Panchroma Matte PLA,Matte Ash Grey,PLA,,,,
PCDB-002-106-1,Polymaker,Panchroma Matte PLA,Matte Electric Indigo,PLA,,,,
PCDB-002-107-1,Polymaker,Panchroma Matte PLA,Matte Lime Green,PLA,,,,
PCDB-002-108-1,Polymaker,Panchroma Matte PLA,Matte Lotus Pink,PLA,,,,
PCDB-002-109-1,Polymaker,Panchroma Matte PLA,Matte Pastel Periwinkle,PLA,,,,
PCDB-002-110-1,Polymaker,Panchroma Matte PLA,Matte Sky Blue,PLA,,,,
PCDB-002-111-1,Polymaker,Panchroma Metallic PLA,Metallic Gold,PLA,,,,
PCDB-002-112-1,Polymaker,Panchroma Metallic PLA,Metallic Silver,PLA,,,,
PCDB-002-113-1,Polymaker,Panchroma Metallic PLA,Metallic Bronze,PLA,,,,
PCDB-002-114-1,Polymaker,Panchroma Metallic PLA,Metallic Blue,PLA,,,,
PCDB-002-115-1,Polymaker,Panchroma Neon PLA,Neon Magenta,PLA,,,,
PCDB-002-116-1,Polymaker,Panchroma Neon PLA,Neon Green,PLA,,,,
PCDB-002-117-1,Polymaker,Panchroma Neon PLA,Neon Yellow,PLA,,,,
PCDB-002-118-1,Polymaker,Panchroma Neon PLA,Neon Orange,PLA,,,,
PCDB-002-119-1,Polymaker,Panchroma Neon PLA,Neon Pink,PLA,,,,
PCDB-002-120-1,Polymaker,Panchroma Neon PLA,Neon Red,PLA,,,,
PCDB-002-121-1,Polymaker,Panchroma PLA,Black,PLA,,,,
PCDB-002-122-1,Polymaker,Panchroma PLA,White,PLA,,,,
PCDB-002-123-1,Polymaker,Panchroma PLA,Cold White,PLA,,,,
PCDB-002-124-1,Polymaker,Panchroma PLA,Red,PLA,,,,
PCDB-002-125-1,Polymaker,Panchroma PLA,Orange,PLA,,,,
PCDB-002-126-1,Polymaker,Panchroma PLA,Magenta,PLA,,,,
PCDB-002-127-1,Polymaker,Panchroma PLA,Pink,PLA,,,,
PCDB-002-128-1,Polymaker,Panchroma PLA,Wine Red,PLA,,,,
PCDB-002-129-1,Polymaker,Panchroma PLA,Lemon Yellow,PLA,,,,
PCDB-002-130-1,Polymaker,Panchroma PLA,Yellow,PLA,,,,
PCDB-002-131-1,Polymaker,Panchroma PLA,Cream,PLA,,,,
PCDB-002-132-1,Polymaker,Panchroma PLA,Beige,PLA,,,,
PCDB-002-133-1,Polymaker,Panchroma PLA,Tan,PLA,,,,
PCDB-002-134-1,Polymaker,Panchroma PLA,Brown,PLA,,,,
PCDB-002-135-1,Polymaker,Panchroma PLA,Green,PLA,,,,
PCDB-002-136-1,Polymaker,Panchroma PLA,Lime Green,PLA,,,,
PCDB-002-137-1,Polymaker,Panchroma PLA,Jungle Green,PLA,,,,
PCDB-002-138-1,Polymaker,Panchroma PLA,Olive Green,PLA,,,,
PCDB-002-139-1,Polymaker,Panchroma PLA,Dark Olive Drab,PLA,,,,
PCDB-002-140-1,Polymaker,Panchroma PLA,Azure Blue,PLA,,,,
PCDB-002-141-1,Polymaker,Panchroma PLA,Blue,PLA,,,,
PCDB-002-142-1,Polymaker,Panchroma PLA,Aqua Blue,PLA,,,,
PCDB-002-143-1,Polymaker,Panchroma PLA,Stone Blue,PLA,,,,
PCDB-002-144-1,Polymaker,Panchroma PLA,Polymaker Teal,PLA,,,,
PCDB-002-145-1,Polymaker,Panchroma PLA,Steel Grey,PLA,,,,
PCDB-002-146-1,Polymaker,Panchroma PLA,Grey,PLA,,,,
PCDB-002-147-1,Polymaker,Panchroma PLA,Dark Grey,PLA,,,,
PCDB-002-148-1,Polymaker,Panchroma PLA,Purple,PLA,,,,
PCDB-002-149-1,Polymaker,Panchroma Satin PLA,Satin Black,PLA,,,,
PCDB-002-150-1,Polymaker,Panchroma Satin PLA,Satin White,PLA,,,,
PCDB-002-151-1,Polymaker,Panchroma Satin PLA,Satin Grey,PLA,,,,
PCDB-002-152-1,Polymaker,Panchroma Satin PLA,Satin Orange,PLA,,,,
PCDB-002-153-1,Polymaker,Panchroma Satin PLA,Satin Yellow,PLA,,,,
PCDB-002-154-1,Polymaker,Panchroma Satin PLA,Satin Green,PLA,,,,
PCDB-002-155-1,Polymaker,Panchroma Satin PLA,Satin Polymaker Teal,PLA,,,,
PCDB-002-156-1,Polymaker,Panchroma Satin PLA,Satin Blue,PLA,,,,
PCDB-002-157-1,Polymaker,Panchroma Satin PLA,Satin Purple,PLA,,,,
PCDB-002-158-1,Polymaker,Panchroma Satin PLA,Satin Red,PLA,,,,
PCDB-002-159-1,Polymaker,Panchroma Silk PLA,Silk Black,PLA,,,,
PCDB-002-160-1,Polymaker,Panchroma Silk PLA,Silk Purple,PLA,,,,
PCDB-002-161-1,Polymaker,Panchroma Silk PLA,Silk Magenta,PLA,,,,
PCDB-002-162-1,Polymaker,Panchroma Silk PLA,Silk Rose,PLA,,,,
PCDB-002-163-1,Polymaker,Panchroma Silk PLA,Silk Red,PLA,,,,
PCDB-002-164-1,Polymaker,Panchroma Silk PLA,Silk Rose Gold,PLA,,,,
PCDB-002-165-1,Polymaker,Panchroma Silk PLA,Silk Quartz Pink,PLA,,,,
PCDB-002-166-1,Polymaker,Panchroma Silk PLA,Silk Bronze,PLA,,,,
PCDB-002-167-1,Polymaker,Panchroma Silk PLA,Silk Orange,PLA,,,,
PCDB-002-168-1,Polymaker,Panchroma Silk PLA,Silk White,PLA,,,,
PCDB-002-169-1,Polymaker,Panchroma Silk PLA,Silk Gold,PLA,,,,
PCDB-002-170-1,Polymaker,Panchroma Silk PLA,Silk Yellow,PLA,,,,
PCDB-002-171-1,Polymaker,Panchroma Silk PLA,Silk Lime,PLA,,,,
PCDB-002-172-1,Polymaker,Panchroma Silk PLA,Silk Green,PLA,,,,
PCDB-002-173-1,Polymaker,Panchroma Silk PLA,Silk Teal,PLA,,,,
PCDB-002-174-1,Polymaker,Panchroma Silk PLA,Silk Light Blue,PLA,,,,
PCDB-002-175-1,Polymaker,Panchroma Silk PLA,Silk Blue,PLA,,,,
PCDB-002-176-1,Polymaker,Panchroma Silk PLA,Silk Chrome,PLA,,,,
PCDB-002-177-1,Polymaker,Panchroma Silk PLA,Silk Silver,PLA,,,,
PCDB-002-178-1,Polymaker,Panchroma Silk PLA,Silk Brass,PLA,,,,
PCDB-002-179-1,Polymaker,Panchroma Silk PLA,Silk Peridot Green,PLA,,,,
PCDB-002-180-1,Polymaker,Panchroma Silk PLA,Silk Periwinkle,PLA,,,,
